cycle,count,mae-o,mae-w0.25,mae-w0.5,mae-w.75
232,15,0.889115751473,0.889443544817,0.915621471402,0.888353347991
233,15,0.7249769694,0.737603861073,0.729009792978,0.733171325363
234,15,0.687209778048,0.708752917878,0.689932914917,0.688412556709
235,15,0.64318268018,0.641481256617,0.637761746748,0.654003611269
236,15,0.521868867079,0.544461402809,0.528862983666,0.530549179191
237,15,0.497357933988,0.492442140368,0.518272260455,0.457523896581
238,15,0.417474531096,0.393985061348,0.435749776393,0.410946091066
239,15,0.539844005099,0.553073062016,0.534733369378,0.587241547861
240,15,0.361816871485,0.380946390764,0.355503161929,0.360242192276
241,15,0.394752082567,0.415752539395,0.394762269168,0.382967345848
242,15,0.568366326088,0.616667508558,0.570478076525,0.580879449784
243,15,0.670744674458,0.666091556129,0.681324832671,0.63034214852
244,15,1.00916537224,1.09156968602,1.09607481526,1.13601308847
245,15,0.939635883253,0.98236697612,0.87938158392,0.862912601072
246,15,0.763696316714,0.819554516401,0.78598236755,0.777473998576
247,15,0.671801646509,0.643611572267,0.64717525767,0.710457855201
248,15,0.549554380828,0.544077688963,0.556432010645,0.557281444872
249,15,0.519951841271,0.491231312369,0.600714234865,0.543359787135
250,15,0.390424940339,0.401303284361,0.377143901938,0.371115093784
251,15,0.4017958754,0.381175462423,0.395120802671,0.392947863776
252,15,0.275144429468,0.307915935733,0.277841790843,0.264496311712
253,15,0.367312584747,0.371035758538,0.372926879291,0.369032982001
254,15,0.199951579829,0.205181838668,0.19222618145,0.185223873828
255,15,0.126792854149,0.117473588952,0.124826401213,0.144915475629
256,15,0.120633656441,0.111406768559,0.106403765763,0.11520571952
257,15,0.199259868233,0.216092487471,0.199757411837,0.203388028883
258,15,0.119414938425,0.125418873979,0.122130747761,0.121614622813
259,15,0.117730020804,0.124098006364,0.104982819628,0.117838113805
260,15,0.185341553299,0.182405317955,0.189658736592,0.176394311965
261,15,0.166789889811,0.164260536424,0.261058766983,0.163220020107
262,15,0.213800278202,0.210578631437,0.207187703577,0.211737298959
263,15,0.189102549828,0.180686041126,0.228554909904,0.183430125276
264,15,0.310441744677,0.302291432351,0.308785382813,0.314642284834
265,15,0.331326651621,0.337442838703,0.338767396887,0.360654315765
266,15,0.35542420103,0.27737893192,0.27661086811,0.275927779091
267,15,0.342519782263,0.317679199294,0.30227935362,0.344585822068
268,15,0.240369213236,0.253085853012,0.235662679327,0.242447961504
269,15,0.216981183503,0.232676290928,0.230176546945,0.205824959965
