cycle,count,mae,accuracy
166,15,41.5275303412,0.611111111111
167,15,38.764581638,0.694444444444
168,15,41.6462046285,0.75
169,15,27.2904832087,0.861111111111
170,15,40.3250401728,0.666666666667
171,15,37.0256272934,0.694444444444
172,15,38.6529383481,0.666666666667
173,15,36.2537859441,0.666666666667
174,15,34.303828286,0.527777777778
175,15,34.7682823594,0.555555555556
176,15,34.4647145799,0.527777777778
177,15,28.6668487003,0.5
178,15,22.342394353,0.777777777778
179,15,18.5242685595,0.833333333333
180,15,11.9066990045,0.944444444444
181,15,8.31707274793,0.972222222222
182,15,10.2953757201,0.972222222222
183,15,11.7782985213,0.972222222222
184,15,12.6397206744,0.944444444444
185,15,10.7453836625,0.944444444444
186,15,12.1378724961,0.944444444444
187,15,8.75850344056,0.944444444444
188,15,8.61843030488,0.972222222222
189,15,11.1647527891,0.972222222222
190,15,10.5048613155,0.972222222222
191,15,10.3360497636,0.972222222222
192,15,11.4533341694,0.972222222222
193,15,12.4152219014,0.944444444444
194,15,10.9448320892,0.944444444444
195,15,12.6375273814,0.972222222222
196,15,13.9558459764,0.805555555556
197,15,12.6540944854,0.888888888889
198,15,15.1041320047,0.833333333333
199,15,14.0434078445,0.861111111111
200,15,16.4890461494,0.861111111111
201,15,19.1662706288,0.888888888889
202,15,25.7604796316,0.722222222222
203,15,21.9451520567,0.833333333333
204,15,18.3043560712,0.861111111111
205,15,15.7094836083,0.888888888889
206,15,11.9425343487,0.944444444444
207,15,10.6932835643,0.972222222222
208,15,11.3425719913,0.972222222222
209,15,10.1114312398,0.972222222222
210,15,8.02804382495,0.972222222222
211,15,8.08597551878,0.972222222222
212,15,12.5581063222,0.972222222222
213,15,10.0160100132,0.944444444444
214,15,12.5402047887,0.972222222222
215,15,11.5580545124,0.944444444444
216,15,13.1124729021,0.944444444444
217,15,13.3044322012,0.972222222222
218,15,13.8005019162,0.944444444444
219,15,15.7555768983,0.916666666667
220,15,13.5105822408,0.916666666667
221,15,14.1165127428,0.944444444444
222,15,15.6730279368,0.944444444444
223,15,16.795527984,1.0
224,15,14.1420222188,0.944444444444
225,15,14.0843604046,0.944444444444
226,15,14.4816193554,0.888888888889
227,15,11.6868215533,0.944444444444
228,15,14.4652900119,0.944444444444
229,15,13.0649254669,0.944444444444
230,15,8.955515757,0.972222222222
231,15,13.5072435114,0.916666666667
232,15,9.59236896578,1.0
233,15,8.38821200231,1.0
234,15,7.90622151484,0.972222222222
235,15,8.90303329055,0.944444444444
236,15,9.51434971681,0.888888888889
237,15,14.0892753388,0.888888888889
238,15,16.3581711465,0.861111111111
239,15,13.0108063239,0.944444444444
240,15,11.8896276057,0.972222222222
241,15,13.0013458744,0.944444444444
242,15,8.34442167472,1.0
243,15,11.2327608635,1.0
